Date,GloveSizeGroup,GloveSize,RawIntD,LoadingWeight,ContactNumber,Surface,Gloves,Gender,ID,PowderArea
05/07/2019,Medium,M,5896309,47.3298,1,Plastic,Y,Male,1,29.513
05/07/2019,Medium,M,4510793,271.2523213,1,Cloth,Y,Male,1,60.898
05/07/2019,Medium,M,2865536,161.7945,1,Glass,Y,Male,1,56.828
05/07/2019,Medium,NA,9695240,104.1744,1,Plastic,N,Male,1,78.44
05/07/2019,Medium,NA,10471291,149.071,1,Cloth,N,Male,1,86.345
05/07/2019,Medium,NA,8111354,159.4164,1,Glass,N,Male,1,93.155
05/07/2019,Medium,M,3642737,150.796,2,Plastic,Y,Male,1,50.924
05/07/2019,Medium,M,4090757,239.0686383,2,Cloth,Y,Male,1,36.67
05/07/2019,Medium,M,4611601,257.4049716,2,Glass,Y,Male,1,55.492
05/07/2019,Medium,NA,12445578,133.9144,2,Plastic,N,Male,1,83.897
05/07/2019,Medium,NA,9430042,196.3298,2,Cloth,N,Male,1,111.081
05/07/2019,Medium,NA,7653343,167.3879,2,Glass,N,Male,1,93.843
05/07/2019,Medium,M,3057145,145.404,3,Plastic,Y,Male,1,57.734
05/07/2019,Medium,M,3357230,248.7788305,3,Cloth,Y,Male,1,30.845
05/07/2019,Medium,M,5024153,237.0988322,3,Glass,Y,Male,1,41.827
05/07/2019,Medium,NA,6015833,158.402,3,Plastic,N,Male,1,51.492
05/07/2019,Medium,NA,9061977,187.2966,3,Cloth,N,Male,1,69.825
05/07/2019,Medium,NA,4034525,168.8879,3,Glass,N,Male,1,85.236
05/07/2019,Medium,M,2290658,256.6522512,4,Plastic,Y,Male,1,52.097
05/07/2019,Medium,M,2241933,231.6893922,4,Cloth,Y,Male,1,23.931
05/07/2019,Medium,M,3879430,298.6182692,4,Glass,Y,Male,1,28.269
05/07/2019,Medium,NA,7769725,237.0816851,4,Plastic,N,Male,1,66.709
05/07/2019,Medium,NA,11595019,206.593,4,Cloth,N,Male,1,91.974
05/07/2019,Medium,NA,5161395,211.6182,4,Glass,N,Male,1,108.158
05/07/2019,Medium,M,1561325,165.2112,5,Plastic,Y,Male,1,43.035
05/07/2019,Medium,M,1659836,263.1492976,5,Cloth,Y,Male,1,15.725
05/07/2019,Medium,M,2121538,281.2071118,5,Glass,Y,Male,1,23.26
05/07/2019,Medium,NA,4459681,261.8331134,5,Plastic,N,Male,1,55.757
05/07/2019,Medium,NA,6147317,293.1998939,5,Cloth,N,Male,1,54.355
05/07/2019,Medium,NA,3442441,134.6659,5,Glass,N,Male,1,60.081
05/07/2019,Small,S,5197063,74.4148,1,Plastic,Y,Female,2,25.967
05/07/2019,Small,S,2011312,149.9249,1,Cloth,Y,Female,2,47.278
05/07/2019,Small,S,2529456,71.4517,1,Glass,Y,Female,2,21.028
05/07/2019,Small,NA,4090985,32.0204,1,Plastic,N,Female,2,37.368
05/07/2019,Small,NA,2846240,62.4857,1,Cloth,N,Female,2,25.542
05/07/2019,Small,NA,2490509,21.0551,1,Glass,N,Female,2,25.125
05/07/2019,Small,S,4080142,180.1358,2,Plastic,Y,Female,2,38.831
05/07/2019,Small,S,577652,244.8920004,2,Cloth,Y,Female,2,43.5
05/07/2019,Small,S,3579860,69.2956,2,Glass,Y,Female,2,6.555
05/07/2019,Small,NA,2700552,24.0781,2,Plastic,N,Female,2,25.38
05/07/2019,Small,NA,3384488,102.6024,2,Cloth,N,Female,2,33.374
05/07/2019,Small,NA,2978739,12.263,2,Glass,N,Female,2,30.999
05/07/2019,Small,S,2704832,202.0368,3,Plastic,Y,Female,2,23.468
05/07/2019,Small,S,356454,265.2030614,3,Cloth,Y,Female,2,30.264
05/07/2019,Small,S,1697911,58.5958,3,Glass,Y,Female,2,3.966
05/07/2019,Small,NA,4143229,36.6203,3,Plastic,N,Female,2,38.226
05/07/2019,Small,NA,3983940,88.6038,3,Cloth,N,Female,2,22.768
05/07/2019,Small,NA,1806558,61.9013,3,Glass,N,Female,2,37.093
05/07/2019,Small,S,1831187,165.3433,4,Plastic,Y,Female,2,21.22
05/07/2019,Small,S,946252,153.1603,4,Cloth,Y,Female,2,20.544
05/07/2019,Small,S,1346665,114.8481,4,Glass,Y,Female,2,9.746
05/07/2019,Small,NA,2384078,86.6498,4,Plastic,N,Female,2,23.152
05/07/2019,Small,NA,1899745,39.743,4,Cloth,N,Female,2,41.345
05/07/2019,Small,NA,3724467,23.8399,4,Glass,N,Female,2,19.237
05/07/2019,Small,S,835543,240.1687464,5,Plastic,Y,Female,2,2.826
05/07/2019,Small,S,734815,118.9447,5,Cloth,Y,Female,2,12.32
05/07/2019,Small,S,155869,261.7026083,5,Glass,Y,Female,2,7.899
05/07/2019,Small,NA,1334090,95.2057,5,Plastic,N,Female,2,14.895
05/07/2019,Small,NA,4047365,74.2198,5,Cloth,N,Female,2,22.895
05/07/2019,Small,NA,1644110,107.9876,5,Glass,N,Female,2,38.404
05/07/2019,Small,S,6771707,51.4729,1,Plastic,Y,Female,3,49.117
05/07/2019,Small,S,6537434,48.5685,1,Cloth,Y,Female,3,58.248
05/07/2019,Small,S,4756896,48.1831,1,Glass,Y,Female,3,61.206
05/07/2019,Small,NA,5520662,20.1908,1,Plastic,N,Female,3,25.604
05/07/2019,Small,NA,3355899,49.3529,1,Cloth,N,Female,3,58.377
05/07/2019,Small,NA,2426457,25.2182,1,Glass,N,Female,3,35.373
05/07/2019,Small,S,2742943,41.5393,2,Plastic,Y,Female,3,45.052
05/07/2019,Small,S,5543436,119.2196,2,Cloth,Y,Female,3,29.471
05/07/2019,Small,S,3940776,82.6423,2,Glass,Y,Female,3,58.517
05/07/2019,Small,NA,5846853,55.6884,2,Plastic,N,Female,3,43.013
05/07/2019,Small,NA,5558050,80.4388,2,Cloth,N,Female,3,65.971
05/07/2019,Small,NA,3729635,38.7083,2,Glass,N,Female,3,39.5
05/07/2019,Small,S,6982960,194.7909,3,Plastic,Y,Female,3,73.064
05/07/2019,Small,S,7956220,273.1584665,3,Cloth,Y,Female,3,72.008
05/07/2019,Small,S,6735602,120.6254,3,Glass,Y,Female,3,82.916
05/07/2019,Small,NA,3532488,69.8184,3,Plastic,N,Female,3,55.822
05/07/2019,Small,NA,3632224,87.5259,3,Cloth,N,Female,3,43.061
05/07/2019,Small,NA,4457769,88.9303,3,Glass,N,Female,3,39.183
05/07/2019,Small,S,4090555,289.5668624,4,Plastic,Y,Female,3,49.507
05/07/2019,Small,S,5378795,229.258709,4,Cloth,Y,Female,3,50.881
05/07/2019,Small,S,4227537,168.0099,4,Glass,Y,Female,3,56.726
05/07/2019,Small,NA,6490599,53.7,4,Plastic,N,Female,3,47.051
05/07/2019,Small,NA,4354179,167.385,4,Cloth,N,Female,3,80.016
05/07/2019,Small,NA,3328551,115.9749,4,Glass,N,Female,3,42.681
05/07/2019,Small,S,1145201,212.188,5,Plastic,Y,Female,3,27.838
05/07/2019,Small,S,2726130,191.6728,5,Cloth,Y,Female,3,20.312
05/07/2019,Small,S,2287811,62.2128,5,Glass,Y,Female,3,29.198
05/07/2019,Small,NA,2468251,191.0235,5,Plastic,N,Female,3,14.717
05/07/2019,Small,NA,3677359,106.0994,5,Cloth,N,Female,3,31.927
05/07/2019,Small,NA,967366,97.5175,5,Glass,N,Female,3,38.521
05/07/2019,Large,L,8857098,259.5985653,1,Plastic,Y,Male,4,94.365
05/07/2019,Large,L,4122863,5.727,1,Cloth,Y,Male,4,35.036
05/07/2019,Large,L,6701253,292.5419946,1,Glass,Y,Male,4,68.532
05/07/2019,Large,NA,6308380,14.5027,1,Plastic,N,Male,4,70.24
05/07/2019,Large,NA,6656810,11.9875,1,Cloth,N,Male,4,58.636
05/07/2019,Large,NA,4188950,4.2911,1,Glass,N,Male,4,37.762
05/07/2019,Large,L,4648241,224.4011092,2,Plastic,Y,Male,4,55.687
05/07/2019,Large,L,3122433,16.1928,2,Cloth,Y,Male,4,26.413
05/07/2019,Large,L,3841382,292.1344846,2,Glass,Y,Male,4,40.286
05/07/2019,Large,NA,4625474,42.6865,2,Plastic,N,Male,4,43.841
05/07/2019,Large,NA,4832440,40.957,2,Cloth,N,Male,4,43.888
05/07/2019,Large,NA,4458696,38.2124,2,Glass,N,Male,4,41.228
05/07/2019,Large,L,4673915,155.4883,3,Plastic,Y,Male,4,52.062
05/07/2019,Large,L,2143000,48.9079,3,Cloth,Y,Male,4,20.154
05/07/2019,Large,L,5504089,282.0706309,3,Glass,Y,Male,4,58.598
05/07/2019,Large,NA,2304966,35.852,3,Plastic,N,Male,4,32.323
05/07/2019,Large,NA,3133277,35.5173,3,Cloth,N,Male,4,34.068
05/07/2019,Large,NA,6220384,51.2952,3,Glass,N,Male,4,57.934
05/07/2019,Large,L,2362338,272.3964456,4,Plastic,Y,Male,4,32.112
05/07/2019,Large,L,3316985,80.9505,4,Cloth,Y,Male,4,30.015
05/07/2019,Large,L,1785249,289.3627881,4,Glass,Y,Male,4,21.005
05/07/2019,Large,NA,2942775,16.0463,4,Plastic,N,Male,4,36.618
05/07/2019,Large,NA,3500033,78.2298,4,Cloth,N,Male,4,33.986
